VIDEOA,DESCA,VIDEOB,DESCB,VIDEOC,DESCC,VIDEOD,DESCD,VIDEOE,DESCE
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095746.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095802.mp4,"The red block in front of the knife and right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095816.mp4,"The red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095830.mp4,"This red block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095844.mp4,"This red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095858.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095911.mp4,"The purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095925.mp4,"The purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095939.mp4,"This purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-095952.mp4,"This purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100006.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100019.mp4,"The green block right of the plate, behind the other green block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100033.mp4,"The green block right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100047.mp4,"That green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100101.mp4,"That green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100115.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100128.mp4,"The green block right of the cup and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100142.mp4,"The green block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100156.mp4,"This green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100210.mp4,"That green block in front of the red block, right of the cup and in front of the other green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100224.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100238.mp4,"The red block behind the green block, behind the green block and behind the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100252.mp4,"The red block behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100305.mp4,"That red block behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100319.mp4,"That red block behind the purple block and behind the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100333.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100347.mp4,"The purple block in front of the red block and in front of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100401.mp4,"The purple block in front of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100415.mp4,"This purple block in front of the green block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100429.mp4,"That purple block in front of the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100446.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100500.mp4,"The red block in front of the purple block, right of the plate and left of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100514.mp4,"The red block left of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100528.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100542.mp4,"That red block in front of the other red block, right of the plate and in front of the purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100556.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100610.mp4,"The purple block in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100624.mp4,"The purple block in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100638.mp4,"That purple block right of the green block, in front of the red block and behind the other purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100652.mp4,"That purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100706.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100719.mp4,"The green block right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100733.mp4,"The green block right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100747.mp4,"This green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100801.mp4,"This green block right of the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100815.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100829.mp4,"The green block left of the purple block and behind the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100843.mp4,"The green block behind the plate and left of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100857.mp4,"That green block behind the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100911.mp4,"That green block left of the purple block and behind the plate."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100925.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100939.mp4,"The red block behind the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-100952.mp4,"The red block behind the purple block and behind the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101007.mp4,"That red block behind the purple block, behind the purple block and behind the other red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101021.mp4,"That red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101035.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101048.mp4,"The purple block in front of the other purple block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101102.mp4,"The purple block behind the red block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101117.mp4,"That purple block behind the red block, behind the green block and in front of the other purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101131.mp4,"This purple block behind the green block and in front of the other purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101148.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101202.mp4,"The red block in front of the knife, left of the plate and behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101217.mp4,"The red block behind the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101230.mp4,"That red block behind the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101244.mp4,"This red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101258.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101312.mp4,"The purple block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101326.mp4,"The purple block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101340.mp4,"That purple block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101353.mp4,"That purple block right of the knife."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101407.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101421.mp4,"The green block right of the other green block and left of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101435.mp4,"The green block left of the cup and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101449.mp4,"This green block right of the purple block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101503.mp4,"That green block left of the cup, in front of the red block and right of the other green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101518.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101531.mp4,"The green block left of the cup and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101546.mp4,"The green block in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101600.mp4,"This green block in front of the purple block, left of the cup and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101614.mp4,"This green block in front of the purple block and in front of the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101628.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101641.mp4,"The red block left of the plate, behind the green block and right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101656.mp4,"The red block left of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101709.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101723.mp4,"That red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101737.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101751.mp4,"The purple block left of the green block, behind the green block and in front of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101806.mp4,"The purple block left of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101820.mp4,"This purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101834.mp4,"That purple block in front of the knife."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101852.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101907.mp4,"The red block in front of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101921.mp4,"The red block in front of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101935.mp4,"This red block in front of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-101950.mp4,"That red block in front of the plate."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102004.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102018.mp4,"The purple block right of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102032.mp4,"The purple block behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102047.mp4,"That purple block right of the cup and behind the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102101.mp4,"That purple block behind the green block and right of the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102116.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102130.mp4,"The green block left of the plate, right of the purple block and in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102145.mp4,"The green block left of the plate and in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102159.mp4,"That green block in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102214.mp4,"That green block in front of the purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102228.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102242.mp4,"The green block in front of the red block and in front of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102256.mp4,"The green block in front of the red block and in front of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102310.mp4,"That green block in front of the cup and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102324.mp4,"This green block in front of the cup."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,"The red block behind the green block and right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,"The red block right of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,"That red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,"That red block right of the knife and behind the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102448.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102502.mp4,"The purple block left of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102516.mp4,"The purple block left of the green block and behind the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102530.mp4,"That purple block left of the plate and left of the green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102544.mp4,"That purple block left of the plate and left of the green block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102601.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102615.mp4,"The red block behind the green block, right of the plate and behind and touching the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102629.mp4,"The red block behind and touching the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102643.mp4,"This red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102657.mp4,"That red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102711.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102725.mp4,"The purple block right of the plate and in front of the cup.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102739.mp4,"The purple block right of the green block and right of the plate.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102753.mp4,"That purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102807.mp4,"That purple block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102821.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102834.mp4,"The green block left of the red block, left of the knife and left of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102848.mp4,"The green block left of the knife.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102902.mp4,"That green block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102916.mp4,"That green block left of the knife, left of the purple block and left of the red block."
https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102930.mp4,"",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102944.mp4,"The green block in front of the purple block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102958.mp4,"The green block in front of the purple block and in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103012.mp4,"That green block in front of the red block.",https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-103026.mp4,"This green block."
