HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.VIDEOA,Input.DESCA,Input.VIDEOB,Input.DESCB,Input.VIDEOC,Input.DESCC,Input.VIDEOD,Input.DESCD,Input.VIDEOE,Input.DESCE,Answer.A-rank,Answer.B-rank,Answer.C-rank,Answer.D-rank,Answer.E-rank,Answer.input-desc,Approve,Reject
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,337RC3OW052Y4MNPMM5JUD5EVMQLVQ,A10RNJJJXFDSZP,Approved,Tue Jan 08 11:57:24 PST 2019,Tue Jan 08 12:13:14 PST 2019,Fri Jan 11 12:13:14 PST 2019,Tue Jan 08 15:46:10 PST 2019,,,950,98% (47/48),98% (47/48),98% (47/48),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,3,5,4,1,2,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,37TD41K0AH9P9QCFFE7FG7VK2APCS5,A1FN9M95P9T9TJ,Rejected,Tue Jan 08 11:48:43 PST 2019,Tue Jan 08 11:52:32 PST 2019,Fri Jan 11 11:52:32 PST 2019,,Tue Jan 08 15:42:49 PST 2019,"Your answer may have been rejected because:
1) More than 3 items were tied.
2) Rankings were not given as a number 1-5 (i.e., text, or numbers outside 1-5 range).
3) Rankings were 1-2-3-4-5 or 5-4-3-2-1 without specifying that this was intentional. If you do not specify, I must be cautious and assume you are a bot.
4) You copied text from a ""good example"" into the optional field. Please don't do this as it looks like a bot trying to game the system.",229,23% (3/13),23% (3/13),23% (3/13),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,5,4,3,2,1,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3EFE17QCRC5GQYNV16LGRYS0F2TSHT,A2DT1Y0XOGKPS5,Approved,Tue Jan 08 11:46:16 PST 2019,Tue Jan 08 11:56:34 PST 2019,Fri Jan 11 11:56:34 PST 2019,Tue Jan 08 15:46:10 PST 2019,,,618,91% (41/45),91% (41/45),91% (41/45),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,3,2,1,4,5,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3HWRJOOET5246OWTB5DA6VVNNLXSE7,A26677ZFH4AAG4,Approved,Tue Jan 08 11:35:12 PST 2019,Tue Jan 08 11:37:26 PST 2019,Fri Jan 11 11:37:26 PST 2019,Tue Jan 08 15:46:10 PST 2019,,,134,100% (12/12),100% (12/12),100% (12/12),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,5,1,3,2,4,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3KXIR214I4GT9NI2SKMR6R6SC5C24M,A3E9B8ICQV4SF8,Approved,Tue Jan 08 16:13:49 PST 2019,Tue Jan 08 16:21:36 PST 2019,Fri Jan 11 16:21:36 PST 2019,Tue Jan 08 16:25:57 PST 2019,,,467,100% (19/19),100% (19/19),100% (19/19),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,2,1,3,5,4,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3QJOXOW4XJR18TJOR8HOUMWHVXHMET,A3P2EXV8LIPUVI,Approved,Tue Jan 08 11:40:29 PST 2019,Tue Jan 08 11:51:13 PST 2019,Fri Jan 11 11:51:13 PST 2019,Tue Jan 08 15:46:10 PST 2019,,,644,100% (36/36),100% (36/36),100% (36/36),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,5,3,2,1,4,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3RKNTXVS3MYIEQD65ZF6C9PQORYA4R,A2AFJQXQ5DV9U8,Approved,Tue Jan 08 11:40:25 PST 2019,Tue Jan 08 11:46:19 PST 2019,Fri Jan 11 11:46:19 PST 2019,Tue Jan 08 15:46:10 PST 2019,,,354,100% (9/9),100% (9/9),100% (9/9),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,5,3,4,2,1,The red block behind the green block and right of the knife.,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3TDXMTX3CBUBZV0I0B0YQ5XNXQDI6S,ACHQIF760VSES,Approved,Tue Jan 08 11:52:50 PST 2019,Tue Jan 08 12:06:06 PST 2019,Fri Jan 11 12:06:06 PST 2019,Tue Jan 08 15:46:11 PST 2019,,,796,87% (34/39),87% (34/39),87% (34/39),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,3,3,2,3,2,,,
302OLP89DZ7JNASR8CGM7O5SVURAC2,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:08 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,3TVSS0C0E10Z2OVZL5C626Y9W9NTWM,A27ODHA3747UVP,Approved,Tue Jan 08 12:02:46 PST 2019,Tue Jan 08 12:16:47 PST 2019,Fri Jan 11 12:16:47 PST 2019,Tue Jan 08 15:46:11 PST 2019,,,841,100% (75/75),100% (75/75),100% (75/75),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102338.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102352.mp4,The red block behind the green block and right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102406.mp4,The red block right of the knife.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102420.mp4,That red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-102434.mp4,That red block right of the knife and behind the green block.,2,4,1,5,3,That red block right of the knife and behind the green block.,,
302OLP89DZ7JNASR8CGM7O5SVURCA4,3KAKS2ULSEKK0JBALT7YP4TOEL1MTH,Rank descriptions of objects by naturalness,"View 5 videos of a virtual avatar describing or indicating an object in a scene, and rank the descriptions by which you think is most natural","object, description, ranking, referring, expression",$0.10,Tue Jan 08 11:20:03 PST 2019,9,BatchId:3493581;OriginalHitTemplateId:928390828;,1800,259200,Fri Jan 18 15:42:50 PST 2019,,,32Z9ZLUT1LK1S6V2UP477TIZIFUHOT,A34POSQTSM1850,Approved,Tue Jan 08 15:42:57 PST 2019,Tue Jan 08 15:45:20 PST 2019,Fri Jan 11 15:45:20 PST 2019,Tue Jan 08 15:46:11 PST 2019,,,143,25% (12/48),25% (12/48),25% (12/48),https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-221807.mp4,,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-221821.mp4,The green block right of the red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-221835.mp4,The green block right of the red block.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-221849.mp4,That green block right of the red block and in front of the plate.,https://s3.amazonaws.com/emre-videos/emre_vid/EMRE-2019-01-07-221904.mp4,This green block right of the red block.,4,5,4,2,1,The green block next to the purple block,,
